source_file,topic,domain,priority_max,intent_count,keyword_count,question_count,canonical_id,cluster,content_type,action,route_candidate,coordination,source_urls
verified,اضطرابات النوم لدى أطفال التوحد وADHD,علم النفس,91,40,20,20,autism-adhd-sleep,sleep,guide,new-page-after-gap-audit,/content/autism-adhd-sleep,,https://www.nimh.nih.gov/
verified,التواصل البديل والمعزز AAC,التواصل واللغة,91,40,20,20,augmentative-alternative-communication,speech-language,guide,new-central-guide,/content/augmentative-alternative-communication,,https://www.asha.org/public/speech/disorders/aac/
verified,تأخر الكلام مقابل التوحد,التواصل واللغة,91,40,20,20,speech-delay-vs-autism,speech-language,comparison,new-comparison,/comparisons/speech-delay-vs-autism/,,https://www.cdc.gov/autism/signs-symptoms/
verified,دعم الطفل غير الناطق أو قليل الكلام,التواصل واللغة,91,40,20,20,nonspeaking-child-support,speech-language,guide,new-practice-guide,/content/nonspeaking-child-support,,https://www.autism.org.uk/advice-and-guidance/topics/communication
verified,صعوبات الانتباه والتركيز في المدرسة,التربية الدامجة,91,40,20,20,attention-difficulties-school,inclusive-education,guide,new-practice-guide,/content/attention-difficulties-school,,https://www.cdc.gov/adhd/treatment/classroom.html
baseline,التعليم الشامل,التربية الدامجة,90,45,20,25,inclusive-education,inclusive-education,landing_page,merge-alias,/schools/,,https://www.unicef.org/education/inclusive-education
baseline,الثقة بالنفس,علم النفس,90,20,20,0,self-confidence,personal-development,guide,new-concept-guide,/content/self-confidence,,https://www.who.int/health-topics/mental-health
baseline,تعديل المناهج لذوي الإعاقة,التربية الدامجة,90,45,20,25,curriculum-modifications-disability,iep-accommodations,guide,new-practice-guide,/content/curriculum-modifications-disability,,https://www.understood.org/en/articles/classroom-accommodations-to-help-students-with-learning-and-thinking-differences | https://www.unicef.org/education/inclusive-education
baseline,متلازمة داون,ذوي الاحتياجات الخاصة,90,45,20,25,down-syndrome,genetic-syndromes,capability,existing-canonical,/capabilities/down-syndrome/,,https://www.unicef.org/education/inclusive-education | https://www.who.int/news-room/fact-sheets/detail/disability-and-health
verified,الانتقائية الغذائية لدى الأطفال المتوحدين,التوحد,90,40,20,20,autism-selective-eating,autism,guide,new-page-after-gap-audit,/content/autism-selective-eating,,https://www.autism.org.uk/advice-and-guidance/topics/behaviour/eating/all-audiences
verified,التقنيات المساعدة في التربية الخاصة,التقنية المساعدة,90,40,20,20,assistive-technology,assistive-technology,guide,merge-with-baseline-topic-and-upgrade-legacy,/content/assistive-technology,,https://www.unesco.org/en/digital-education
verified,التنمر على الطلاب ذوي الإعاقة,التربية الدامجة,90,40,20,20,disability-bullying,inclusive-education,guide,specific-child-guide-under-bullying,/content/disability-bullying,,https://www.unicef.org/
verified,عسر الحساب Dyscalculia,صعوبات التعلم,90,40,20,20,dyscalculia,learning-disorders,capability,merge-with-baseline-topic,/capabilities/dyscalculia/,,https://www.understood.org/en/articles/what-is-dyscalculia
verified,عسر الكتابة Dysgraphia,صعوبات التعلم,90,40,20,20,dysgraphia,learning-disorders,capability,merge-with-baseline-topic,/capabilities/dysgraphia/,,https://www.understood.org/en/articles/understanding-dysgraphia
baseline,اضطراب اللغة النمائي,ذوي الاحتياجات الخاصة,89,45,20,25,developmental-language-disorder,speech-language,capability,existing-canonical,/capabilities/developmental-language-disorder/,,https://www.understood.org/en/articles/classroom-accommodations-to-help-students-with-learning-and-thinking-differences
baseline,الذكاء العاطفي,علم النفس,89,20,20,0,emotional-intelligence,personal-development,guide,new-concept-guide,/content/emotional-intelligence,,https://www.who.int/health-topics/mental-health
baseline,الشلل الدماغي,ذوي الاحتياجات الخاصة,89,45,20,25,cerebral-palsy,motor-sensory-disabilities,capability,existing-canonical,/capabilities/cerebral-palsy/,,https://www.unicef.org/education/inclusive-education | https://www.who.int/news-room/fact-sheets/detail/disability-and-health
baseline,تقدير الذات,علم النفس,89,20,20,0,self-esteem,personal-development,guide,new-concept-guide-and-comparison,/content/self-esteem,,https://www.who.int/health-topics/mental-health
baseline,معلم التربية الخاصة,التربية الدامجة,89,45,20,25,special-education-teacher,inclusive-education,guide,new-professional-guide,/content/special-education-teacher,,https://www.unesco.org/en/articles/jordan-launches-national-framework-inclusion-and-diversity-education-unesco | https://www.unicef.org/education/inclusive-education
verified,التكامل الحسي في العلاج الوظيفي,العلاج والتأهيل,89,40,20,20,sensory-integration-occupational-therapy,sensory-processing,guide,new-evidence-balanced-guide,/content/sensory-integration-occupational-therapy,,https://www.aota.org/
